"","Year","MPA","SampleSize"
"1","2007","Fished",49
"2","2007","MPA",71
"3","2008","Fished",56
"4","2008","MPA",103
"5","2009","Fished",54
"6","2009","MPA",60
"7","2010","Fished",80
"8","2010","MPA",114
"9","2011","Fished",103
"10","2011","MPA",174
"11","2012","Fished",177
"12","2012","MPA",283
"13","2013","Fished",130
"14","2013","MPA",255
