FileName,Year,Month,Length,LengthType,Sex,Special,MPA,FisheryDependent,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,14,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,15,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,26,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,19,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,15,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,1,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,15,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,11,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,12,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,18,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,9,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,13,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,8,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
Philippines-SCAY-Chlorurus_sordidus_LengthData.csv,2012,-999,10,-999,-999,-999,0,0,,,,,
