"","Year","MPA","SampleSize"
"1","2007","Fished",85
"2","2007","MPA",52
"3","2008","Fished",157
"4","2008","MPA",234
"5","2009","Fished",118
"6","2009","MPA",194
"7","2010","Fished",147
"8","2010","MPA",301
"9","2011","Fished",86
"10","2011","MPA",175
"11","2012","Fished",152
"12","2012","MPA",278
"13","2013","Fished",14
"14","2013","MPA",108
