"","Year","MPA","SampleSize"
"1","2007","Fished",111
"2","2007","MPA",363
"3","2008","Fished",163
"4","2008","MPA",247
"5","2009","Fished",37
"6","2009","MPA",17
"7","2010","Fished",10
"8","2010","MPA",43
"9","2011","Fished",47
"10","2011","MPA",63
"11","2012","Fished",34
"12","2012","MPA",22
"13","2013","Fished",51
"14","2013","MPA",121
