"","Year","MPA","SampleSize"
"1","2008","Fished",5
"2","2008","MPA",5
"3","2009","Fished",4
"4","2009","MPA",1
"5","2010","MPA",5
"6","2011","Fished",6
"7","2011","MPA",2
"8","2012","Fished",19
"9","2012","MPA",6
"10","2013","Fished",46
"11","2013","MPA",38
