"","Year","MPA","NumberDensity","BiomassDensity"
"1","2008","Fished",20,11127.0885161801
"2","2008","MPA",20,8441.19561416166
"3","2009","Fished",16,9892.92869264666
"4","2009","MPA",4,2015.57459192685
"5","2010","MPA",20,11678.298045844
"6","2011","Fished",24,12572.0969753474
"7","2011","MPA",8,4002.20990340834
"8","2012","Fished",76,37398.2955457967
"9","2012","MPA",24,12754.356587426
"10","2013","Fished",184,111054.804269235
"11","2013","MPA",152,60775.914542529
