"","Year","MPA","SampleSize"
"1","2007","Fished",458
"2","2007","MPA",1466
"3","2008","Fished",350
"4","2008","MPA",1168
"5","2009","Fished",30
"6","2009","MPA",159
"7","2010","Fished",34
"8","2010","MPA",128
"9","2011","Fished",28
"10","2011","MPA",107
"11","2012","Fished",67
"12","2012","MPA",112
"13","2013","Fished",333
"14","2013","MPA",289
