"","Year","MPA","SampleSize"
"1","2007","Fished",64
"2","2007","MPA",36
"3","2008","Fished",57
"4","2008","MPA",20
"5","2009","Fished",10
"6","2009","MPA",9
"7","2010","Fished",13
"8","2010","MPA",6
"9","2011","Fished",6
"10","2011","MPA",21
"11","2012","Fished",17
"12","2012","MPA",15
"13","2013","Fished",73
"14","2013","MPA",28
