"","Year","MPA","SampleSize"
"1","2007","Fished",314
"2","2007","MPA",86
"3","2008","Fished",241
"4","2008","MPA",364
"5","2009","Fished",306
"6","2009","MPA",201
"7","2010","Fished",170
"8","2010","MPA",152
"9","2011","Fished",48
"10","2011","MPA",60
"11","2012","Fished",20
"12","2012","MPA",79
"13","2013","Fished",245
"14","2013","MPA",112
