"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","08","50","-999","-999","-999","1","0"
"2012","08","15","-999","-999","-999","0","0"
"2012","08","13","-999","-999","-999","0","0"
