"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
NA,NA,"14","-999","-999","-999","1","0"
NA,NA,"15","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","0","0"
