"","Year","MPA","SampleSize"
"1","2007","Fished",777
"2","2007","MPA",1136
"3","2008","Fished",1007
"4","2008","MPA",1421
"5","2009","Fished",629
"6","2009","MPA",741
"7","2010","Fished",811
"8","2010","MPA",1224
"9","2011","Fished",597
"10","2011","MPA",961
"11","2012","Fished",693
"12","2012","MPA",1031
"13","2013","Fished",235
"14","2013","MPA",403
