"","Year","MPA","SampleSize"
"1","2007","Fished",883
"2","2007","MPA",1915
"3","2008","Fished",875
"4","2008","MPA",2043
"5","2009","Fished",386
"6","2009","MPA",451
"7","2010","Fished",235
"8","2010","MPA",375
"9","2011","Fished",188
"10","2011","MPA",335
"11","2012","Fished",128
"12","2012","MPA",346
"13","2013","Fished",763
"14","2013","MPA",685
