"","Year","MPA","SampleSize"
"1","2007","Fished",29
"2","2007","MPA",24
"3","2008","Fished",29
"4","2008","MPA",24
"5","2009","Fished",17
"6","2009","MPA",21
"7","2010","Fished",29
"8","2010","MPA",36
"9","2011","Fished",25
"10","2011","MPA",68
"11","2012","Fished",27
"12","2012","MPA",54
"13","2013","Fished",16
"14","2013","MPA",55
