"","Year","MPA","SampleSize"
"1","2007","Fished",390
"2","2007","MPA",625
"3","2008","Fished",425
"4","2008","MPA",461
"5","2009","Fished",163
"6","2009","MPA",180
"7","2010","Fished",207
"8","2010","MPA",371
"9","2011","Fished",142
"10","2011","MPA",219
"11","2012","Fished",124
"12","2012","MPA",320
"13","2013","Fished",47
"14","2013","MPA",136
