"","Year","MPA","SampleSize"
"1","2007","Fished",10
"2","2007","MPA",36
"3","2008","Fished",6
"4","2008","MPA",30
"5","2009","Fished",4
"6","2009","MPA",6
"7","2010","Fished",15
"8","2010","MPA",22
"9","2011","Fished",34
"10","2011","MPA",44
"11","2012","Fished",66
"12","2012","MPA",83
"13","2013","Fished",53
"14","2013","MPA",57
