"","Year","MPA","SampleSize"
"1","2007","Fished",6
"2","2007","MPA",9
"3","2008","Fished",19
"4","2008","MPA",6
"5","2009","Fished",12
"6","2009","MPA",9
"7","2010","Fished",12
"8","2010","MPA",6
"9","2011","Fished",14
"10","2011","MPA",18
"11","2012","Fished",10
"12","2012","MPA",14
"13","2013","Fished",8
"14","2013","MPA",10
