,Year,Method,Value,LowerCI,UpperCI,SD,Metric,Flag
1,2011,LBAR,Fail,Fail,Fail,Fail,FvFmsy,"Uniroot failed, function has no zero root"
2,2012,LBAR,Fail,Fail,Fail,Fail,FvFmsy,"Uniroot failed, function has no zero root"
3,2011,CatchCurve,0.27,-2834.92,12.79,646.95,FvFmsy,Catch-Curve not working-Negative Fishing Mortality
4,2012,CatchCurve,-3.84,-43.77,20.10,7.47,FvFmsy,Catch-Curve not working-Negative Fishing Mortality
5,2011,DensityRatio,2.77,0.31,9.43,2.11,N/K,Biomass
6,2012,DensityRatio,1.30,0.24,3.63,0.70,N/K,Biomass
7,2011,LBSPR,0.14,0.00,1.00,0.37,SPR,ModelFailed is FALSE
8,2012,LBSPR,0.00,0.00,0.41,0.07,SPR,ModelFailed is FALSE
