"","Year","MPA","SampleSize"
"1","2007","Fished",425
"2","2007","MPA",101
"3","2008","Fished",339
"4","2008","MPA",283
"5","2009","Fished",371
"6","2009","MPA",158
"7","2010","Fished",467
"8","2010","MPA",117
"9","2011","Fished",556
"10","2011","MPA",144
"11","2012","Fished",919
"12","2012","MPA",309
"13","2013","Fished",1774
"14","2013","MPA",524
