"","Year","MPA","SampleSize"
"1","2007","Fished",302
"2","2007","MPA",459
"3","2008","Fished",265
"4","2008","MPA",429
"5","2009","Fished",105
"6","2009","MPA",217
"7","2010","Fished",191
"8","2010","MPA",304
"9","2011","Fished",143
"10","2011","MPA",396
"11","2012","Fished",183
"12","2012","MPA",240
"13","2013","Fished",59
"14","2013","MPA",80
