"","Year","MPA","SampleSize"
"1","2008","Fished",121
"2","2008","MPA",264
"3","2009","Fished",13
"4","2009","MPA",74
"5","2010","Fished",21
"6","2010","MPA",52
"7","2011","Fished",65
"8","2011","MPA",105
"9","2012","Fished",7
"10","2012","MPA",133
"11","2013","Fished",134
"12","2013","MPA",163
