"","Year","MPA","SampleSize"
"1","2007","Fished",156
"2","2007","MPA",608
"3","2008","Fished",84
"4","2008","MPA",508
"5","2009","Fished",27
"6","2009","MPA",151
"7","2010","Fished",27
"8","2010","MPA",126
"9","2011","Fished",78
"10","2011","MPA",266
"11","2012","Fished",125
"12","2012","MPA",329
"13","2013","Fished",76
"14","2013","MPA",124
