"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"91",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"92",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"93",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"94",2011,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"95",2011,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"96",2011,"August","PB",22,"cm","Unknown","Gear is HnL",0,1
"97",2011,"August","PB",23,"cm","Unknown","Gear is HnL",0,1
"98",2011,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"99",2007,"August","PB",20,"cm","Unknown","Gear is HnL",0,1
"100",2007,"August","PB",22,"cm","Unknown","Gear is HnL",0,1
"101",2007,"October","PB",31,"cm","Unknown","Gear is HnL",0,1
"102",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"103",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"104",2007,"October","PB",29,"cm","Unknown","Gear is HnL",0,1
"105",2007,"September","PB",22,"cm","Unknown","Gear is HnL",0,1
"106",2007,"September","PB",23,"cm","Unknown","Gear is HnL",0,1
"107",2007,"September","PB",22,"cm","Unknown","Gear is HnL",0,1
"108",2009,"September","PB",27,"cm","Unknown","Gear is HnL",0,1
"109",2009,"September","PB",23,"cm","Unknown","Gear is HnL",0,1
"110",2009,"September","PB",25,"cm","Unknown","Gear is HnL",0,1
"111",2007,"September","PB",20,"cm","Unknown","Gear is HnL",0,1
"112",2007,"September","PB",30,"cm","Unknown","Gear is HnL",0,1
"113",2007,"September","PB",28,"cm","Unknown","Gear is HnL",0,1
"114",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"115",2007,"August","PB",31,"cm","Unknown","Gear is HnL",1,1
"116",2007,"August","PB",28,"cm","Unknown","Gear is HnL",1,1
"117",2007,"August","PB",32,"cm","Unknown","Gear is HnL",1,1
"118",2007,"August","PB",30,"cm","Unknown","Gear is HnL",1,1
"119",2007,"August","PB",21,"cm","Unknown","Gear is HnL",1,1
"120",2007,"August","PB",33,"cm","Unknown","Gear is HnL",1,1
"121",2007,"August","PB",21,"cm","Unknown","Gear is HnL",1,1
"122",2007,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
