"","Year","MPA","SampleSize"
"1","2007","Fished",50
"2","2007","MPA",68
"3","2008","Fished",104
"4","2008","MPA",89
"5","2009","Fished",25
"6","2009","MPA",36
"7","2010","Fished",11
"8","2010","MPA",1
"9","2011","Fished",63
"10","2011","MPA",16
"11","2012","Fished",109
"12","2012","MPA",78
"13","2013","Fished",118
"14","2013","MPA",78
