"","Year","MPA","SampleSize"
"1","2007","Fished",10
"2","2007","MPA",11
"3","2008","Fished",14
"4","2008","MPA",33
"5","2009","Fished",19
"6","2009","MPA",21
"7","2010","Fished",19
"8","2010","MPA",46
"9","2011","Fished",22
"10","2011","MPA",49
"11","2012","Fished",58
"12","2012","MPA",124
"13","2013","Fished",35
"14","2013","MPA",123
