"","Year","MPA","SampleSize"
"1","2008","Fished",7
"2","2008","MPA",16
"3","2009","Fished",14
"4","2009","MPA",12
"5","2010","Fished",17
"6","2010","MPA",10
"7","2011","Fished",22
"8","2011","MPA",13
"9","2012","Fished",26
"10","2012","MPA",22
"11","2013","Fished",26
"12","2013","MPA",20
