"","Year","Method","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1","2012","LBAR","-999","-999","-999","0","FvFmsy","Uniroot failed, function has no zero root"
"2","2012","LBSPR","0.0421687","0.0395102","0.137671","0.0273080214897725","SPR","ModelFailed is FALSE"
