"","Year","MPA","SampleSize"
"1","2008","Fished",160
"2","2008","MPA",297
"3","2009","Fished",243
"4","2009","MPA",150
"5","2010","Fished",266
"6","2010","MPA",248
"7","2011","Fished",226
"8","2011","MPA",171
"9","2012","Fished",234
"10","2012","MPA",193
"11","2013","Fished",115
"12","2013","MPA",79
