"","Year","MPA","SampleSize"
"1","2007","Fished",539
"2","2007","MPA",205
"3","2008","Fished",505
"4","2008","MPA",397
"5","2009","Fished",410
"6","2009","MPA",204
"7","2010","Fished",491
"8","2010","MPA",129
"9","2011","Fished",631
"10","2011","MPA",183
"11","2012","Fished",1064
"12","2012","MPA",408
"13","2013","Fished",2011
"14","2013","MPA",668
